NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CHOLESTEROL METABOLISM (INCLUDES BOTH BLOCH AND KANDUTSCH-RUSSELL PATHWAYS)%WIKIPATHWAYS_20210210%WP4718%HOMO SAPIENS	CHOLESTEROL METABOLISM (INCLUDES BOTH BLOCH AND KANDUTSCH-RUSSELL PATHWAYS)%WIKIPATHWAYS_20210210%WP4718%HOMO SAPIENS	Details ...	32	-0.5892004	-2.37014	0.0	0.010800739	0.01	2740	tags=66%, list=20%, signal=82%	
PID_INTEGRIN_A4B1_PATHWAY%MSIGDB_C2%PID_INTEGRIN_A4B1_PATHWAY	PID_INTEGRIN_A4B1_PATHWAY%MSIGDB_C2%PID_INTEGRIN_A4B1_PATHWAY	Details ...	20	-0.6926891	-2.3597791	0.0	0.0064646946	0.012	2082	tags=60%, list=15%, signal=71%	
CHOLESTEROL BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 75%191273	CHOLESTEROL BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 75%191273	Details ...	22	-0.64506876	-2.3307145	0.0	0.0061210007	0.017	2740	tags=64%, list=20%, signal=79%	
REGULATION OF CALCIUM ION TRANSPORT INTO CYTOSOL%GOBP%GO:0010522	REGULATION OF CALCIUM ION TRANSPORT INTO CYTOSOL%GOBP%GO:0010522	Details ...	43	-0.51596504	-2.2439718	0.0	0.019192765	0.07	2553	tags=42%, list=18%, signal=51%	
ACTION POTENTIAL%GOBP%GO:0001508	ACTION POTENTIAL%GOBP%GO:0001508	Details ...	45	-0.5184019	-2.2282345	0.0	0.018149206	0.083	2276	tags=53%, list=16%, signal=64%	
MULTICELLULAR ORGANISMAL SIGNALING%GOBP%GO:0035637	MULTICELLULAR ORGANISMAL SIGNALING%GOBP%GO:0035637	Details ...	66	-0.47517577	-2.2260218	0.0	0.015666278	0.086	2633	tags=44%, list=19%, signal=54%	
CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	Details ...	81	-0.44716713	-2.2066061	0.0	0.01850032	0.119	4108	tags=58%, list=30%, signal=82%	
CELL MIGRATION AND INVASION THROUGH P75NTR%WIKIPATHWAYS_20210210%WP4561%HOMO SAPIENS	CELL MIGRATION AND INVASION THROUGH P75NTR%WIKIPATHWAYS_20210210%WP4561%HOMO SAPIENS	Details ...	24	-0.5973506	-2.1513214	0.0	0.031961087	0.212	2252	tags=58%, list=16%, signal=70%	
POSITIVE REGULATION OF CALCIUM ION TRANSPORT INTO CYTOSOL%GOBP%GO:0010524	POSITIVE REGULATION OF CALCIUM ION TRANSPORT INTO CYTOSOL%GOBP%GO:0010524	Details ...	23	-0.59331465	-2.126021	0.0	0.038260907	0.272	3281	tags=48%, list=24%, signal=63%	
REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL%GOBP%GO:0051279	REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL%GOBP%GO:0051279	Details ...	33	-0.5285259	-2.1229203	0.0	0.035827752	0.279	3281	tags=48%, list=24%, signal=63%	
