NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
NUCLEOSIDE DIPHOSPHATE PHOSPHORYLATION%GOBP%GO:0006165	NUCLEOSIDE DIPHOSPHATE PHOSPHORYLATION%GOBP%GO:0006165	Details ...	29	0.640961	2.4562225	0.0	9.115621E-4	0.001	2226	tags=41%, list=16%, signal=49%	
NUCLEOTIDE PHOSPHORYLATION%GOBP%GO:0046939	NUCLEOTIDE PHOSPHORYLATION%GOBP%GO:0046939	Details ...	30	0.6181954	2.3729358	0.0	0.004593628	0.01	2226	tags=40%, list=16%, signal=48%	
ATP GENERATION FROM ADP%GOBP%GO:0006757	ATP GENERATION FROM ADP%GOBP%GO:0006757	Details ...	24	0.63995427	2.3725321	0.0	0.0030624187	0.01	2226	tags=42%, list=16%, signal=50%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDB_C2%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDB_C2%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	155	0.42361477	2.3290846	0.0	0.0034411543	0.015	2810	tags=46%, list=20%, signal=57%	
GLUCOSE CATABOLIC PROCESS%GOBP%GO:0006007	GLUCOSE CATABOLIC PROCESS%GOBP%GO:0006007	Details ...	18	0.6819573	2.2997174	0.0	0.0044058487	0.024	1778	tags=39%, list=13%, signal=45%	
GLYCOLYTIC PROCESS%GOBP%GO:0006096	GLYCOLYTIC PROCESS%GOBP%GO:0006096	Details ...	23	0.6422085	2.2944112	0.0	0.0047502955	0.031	2226	tags=43%, list=16%, signal=52%	
RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009185	RIBONUCLEOSIDE DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009185	Details ...	32	0.5813499	2.2923663	0.0	0.00433932	0.033	2226	tags=44%, list=16%, signal=52%	
PYRUVATE BIOSYNTHETIC PROCESS%GOBP%GO:0042866	PYRUVATE BIOSYNTHETIC PROCESS%GOBP%GO:0042866	Details ...	25	0.6196685	2.266675	0.0	0.0053998	0.046	2226	tags=40%, list=16%, signal=48%	
MITOCHONDRIAL PROTEIN IMPORT%REACTOME DATABASE ID RELEASE 75%1268020	MITOCHONDRIAL PROTEIN IMPORT%REACTOME DATABASE ID RELEASE 75%1268020	Details ...	62	0.4733825	2.2455738	0.0	0.006441216	0.061	2384	tags=45%, list=17%, signal=54%	
HISTONE EXCHANGE%GOBP%GO:0043486	HISTONE EXCHANGE%GOBP%GO:0043486	Details ...	39	0.5467175	2.2329612	0.0	0.00690465	0.072	3803	tags=62%, list=27%, signal=85%	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 75%8868773	RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 75%8868773	Details ...	183	0.3958216	2.2304265	0.0	0.0063614747	0.073	2510	tags=37%, list=18%, signal=45%	
L-ALPHA-AMINO ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:1902475	L-ALPHA-AMINO ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:1902475	Details ...	21	0.6299786	2.229935	0.0	0.0061401622	0.077	2886	tags=67%, list=21%, signal=84%	
FATTY ACID BETA-OXIDATION%GOBP%GO:0006635	FATTY ACID BETA-OXIDATION%GOBP%GO:0006635	Details ...	45	0.51577336	2.222074	0.0	0.006378966	0.086	2945	tags=51%, list=21%, signal=65%	
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 75%72312	RRNA PROCESSING%REACTOME DATABASE ID RELEASE 75%72312	Details ...	193	0.3934891	2.2135046	0.0	0.007044003	0.103	2935	tags=40%, list=21%, signal=50%	
CANONICAL GLYCOLYSIS%GOBP%GO:0061621	CANONICAL GLYCOLYSIS%GOBP%GO:0061621	Details ...	17	0.65876013	2.2002208	0.0020618557	0.008166697	0.125	1778	tags=35%, list=13%, signal=40%	
