NAME	TITLE	SCORE	
ALDOA		8.680261	
RPS17		8.528169	
DDR1		7.700144	
ALDH3B1		7.700144	
TUBA4A		7.700144	
PLOD3		7.700144	
CHPF		7.700144	
MIDN		7.700144	
CSNK1G2		7.700144	
EFHD2		7.700144	
MSL1		7.700144	
IMPDH1		7.58593	
RPL24		7.5672226	
ACADVL		7.5624948	
TFCP2		7.468726	
PLOD1		7.468726	
HTRA1		7.468726	
TIMM13		7.468726	
RAD50		7.433423	
FOXF2		7.433423	
AVPI1		7.4318366	
S100A4		7.4318366	
TRIM2		7.3853364	
ABCF2		7.3853364	
MANF		7.3812323	
CNN2		7.3812323	
NLRC5		7.3703613	
ATP6AP1		7.3703613	
KRIT1		7.3703613	
KLHL21		7.3366337	
EPHB4		7.309802	
HTRA3		7.2883754	
RPS28		7.2571197	
PGK1		7.2571197	
SBNO2		7.2429643	
B4GALNT4		7.2429643	
RPS27L		7.2429643	
ASS1		7.2274942	
ARHGEF10		7.219864	
GAL		7.1664677	
FAM174C		7.12004	
FAM120A		7.1078644	
NUPR1		7.1078644	
TFEB		7.066855	
PPIAP22		7.0402236	
IFRD2		7.0402236	
SESN1		7.0402236	
RPL22		7.0402236	
FAM107B		7.0402236	
PRSS23		7.005705	
SLC4A2		6.9935446	
NAT10		6.9935446	
SMOX		6.986057	
LINC00476		6.9581966	
SH3GL1		6.9498887	
CDKN1A		6.936301	
LDHB		6.929325	
GRIN2D		6.929325	
ASB13		6.9109964	
BHLHE40		6.904099	
MYC		6.8994427	
FLYWCH2		6.8994427	
CPT1A		6.8994427	
RHOBTB2		6.882244	
SLC16A3		6.8745427	
SLC39A1		6.8665824	
BMP2		6.8665824	
KLF9		6.8488812	
PARL		6.8368864	
ABHD17A		6.8368864	
MAFK		6.8368864	
ODC1		6.829653	
KARS1		6.829653	
MRPS25		6.8295364	
SLC47A1		6.824655	
PSD3		6.824655	
NSUN2		6.8234277	
RBM15B		6.8206015	
EML4		6.8206015	
ARPC1A		6.8206015	
TMEM94		6.81105	
EIF3A		6.81105	
TMEM45A		6.8086386	
LAMA3		6.8086386	
PLEKHH3		6.803007	
COX7A2L		6.7814116	
SUPT6H		6.774773	
ASCC3		6.771256	
DNAJC2		6.771256	
ENGASE		6.766411	
ABLIM1		6.766411	
ZC3H15		6.766411	
BTBD2		6.759271	
MAPKAPK3		6.7552547	
ADSL		6.7441993	
TEKT4P2		6.7430334	
SYNPO		6.74093	
SMPD1		6.740444	
WDR3		6.717054	
RAP1GAP		6.712364	
HSPG2		6.7122297	
KMT2D		6.7122297	
ARMC10		6.7122297	
CAPZA2		6.7122297	
LDHA		6.7075152	
F2RL1		6.7034383	
ID3		6.701161	
PER1		6.700766	
LIMCH1		6.700766	
MITF		6.700766	
RAB10		6.6959767	
PRPF40A		6.6942105	
ATAD3B		6.6942105	
NINJ1		6.6942105	
MFSD14A		6.679259	
THRB		6.679259	
SMAD2		6.6789203	
MMP15		6.6786313	
JTB		6.6778226	
HSDL2		6.6778226	
PSMA4		6.6778226	
PSMC2		6.6638255	
KANK2		6.6592803	
ITPR1		6.6582074	
IMPA2		6.6291757	
POLR2E		6.6257052	
TINCR		6.6257052	
PDE8A		6.6257052	
DDX21		6.6257052	
GCSH		6.6257052	
CAPN15		6.6257052	
DHX37		6.611869	
SPHK1		6.5827055	
TCF3		6.5816226	
ACADSB		6.5776405	
PTGES2		6.5726233	
DDX51		6.5720115	
RB1		6.5720115	
VRK2		6.571032	
GAS2L1		6.564652	
COPS6		6.5646234	
MOGS		6.5608416	
PIGS		6.553519	
SAPCD2		6.553519	
TIGAR		6.553519	
POR		6.549601	
DHPS		6.541472	
ABHD17C		6.5322003	
BET1		6.5322003	
PDK3		6.5038724	
ZBED1		6.500475	
TRMT10C		6.500475	
CDK5RAP3		6.500475	
NF1		6.4920783	
BRI3BP		6.480959	
SSB		6.479809	
RBM19		6.479809	
SFXN3		6.4739137	
CISD3		6.4739137	
POP7		6.4739137	
POMP		6.469065	
H1-2		6.4687095	
MPC1		6.4592867	
COL4A1		6.4592867	
TRIP6		6.4500427	
MCRIP2		6.442807	
ITPRIPL2		6.434516	
BLMH		6.4296045	
EIF2B1		6.4162292	
TRAPPC6B		6.4162292	
GLG1		6.4070134	
GNG5		6.405928	
IARS1		6.400059	
KLF16		6.400059	
DVL1		6.3978195	
HSPD1		6.3934364	
SH3TC1		6.392058	
AUH		6.392058	
RHBDL1		6.3913355	
TCP1		6.3897595	
POLRMT		6.3884926	
PLEKHA2		6.384194	
LMTK2		6.384194	
MYO10		6.384194	
MLLT6		6.3793917	
RPL14		6.3781605	
ORC5		6.3529496	
TMEM259		6.350025	
DDX54		6.350025	
STAG3L5P		6.3423405	
RBM6		6.3423405	
RAB13		6.341775	
GRAMD1B		6.339018	
SNRPE		6.335915	
SH3GLB2		6.330209	
PAPPA		6.3269463	
RIF1		6.3161864	
HOXA11		6.314679	
METTL21A		6.310645	
TRAFD1		6.306441	
SCAMP4		6.3041325	
KBTBD6		6.301626	
RHOT2		6.2982354	
CD320		6.2982354	
TMPPE		6.2973914	
DNAJB11		6.2973914	
KIAA2013		6.2973557	
LSM3		6.2926583	
NCOA7		6.2874947	
LRRFIP1		6.284391	
ZNF343		6.284391	
ALDH18A1		6.283363	
SLC3A2		6.2805552	
KDM5C		6.276725	
POLR3E		6.2743163	
SSR4		6.267912	
ELK1		6.267912	
